Participant,Trial_Nr,Run_Nr,Trial_nr_run,Cue_Taste1_Size2,Top_image_index,Bottom_image_index,Choice,RT_choice,Size_top_image,Taste_top_image,Size_bottom_image,Taste_bottom_image,Size_diff,Taste_diff,Cued_diff,Category,mean_RT_size_pic1,mean_RT_taste_pic1,mean_RT_size_pic2,mean_RT_taste_pic2,Diff_category_oposite_to_cue,Category_opposite_to_cue,Stimulation,Session_type,Accuracy,Size1_TopPic,Size2_TopPic,Taste1_TopPic,Taste2_TopPic,Size1_BotPic,Size2_BotPic,Taste1_BotPic,Taste2_BotPic,Amplitude,Circumfence,Time_between_tasks,Name_top_image,Name_bottom_image
1,1,1,1,1,4,1,-1,1.767825067,0.347222222,0.371527778,0.626302083,0.274739583,-0.279079861,0.096788194,0.096788194,6,2.362687289,1.572754489,1.888526933,3.379911822,-0.279079861,0,1,1,0,0.311631944,0.3828125,0.388020833,0.355034722,0.701388889,0.551215278,0.365451389,0.184027778,1,57,33.12138333,mikado,blevita
1,2,1,2,1,10,5,-1,1.46487552,0.260850694,0.417534722,0.523003472,0.405815972,-0.262152778,0.01171875,0.01171875,5,1.813897813,2.0965632,2.68007936,1.555521138,-0.262152778,0,1,1,0,0.300347222,0.221354167,0.342013889,0.493055556,0.572048611,0.473958333,0.420138889,0.391493056,1,57,33.12138333,oreo,rizaulait
1,3,1,3,1,31,1,-1,1.494438969,0.473524306,0.234809028,0.626302083,0.274739583,-0.152777778,-0.039930556,-0.039930556,4,1.762503538,1.938525013,1.888526933,3.379911822,-0.152777778,1,1,1,0,0.493923611,0.453125,0.296875,0.172743056,0.701388889,0.551215278,0.365451389,0.184027778,1,57,33.12138333,muffins,blevita
1,4,1,4,1,10,2,1,1.572429653,0.260850694,0.417534722,0.268229167,0.604600694,-0.007378472,-0.187065972,-0.187065972,1,1.813897813,2.0965632,2.6136576,1.422693831,-0.007378472,4,1,1,0,0.300347222,0.221354167,0.342013889,0.493055556,0.308159722,0.228298611,0.590277778,0.618923611,1,57,33.12138333,oreo,salad
1,5,1,5,1,3,16,-1,1.436993991,0.485243056,0.625,0.329861111,0.737847222,0.155381944,-0.112847222,-0.112847222,2,1.822734507,2.121227378,1.63076096,1.489164231,0.155381944,8,1,1,0,0.463541667,0.506944444,0.663194444,0.586805556,0.316840278,0.342881944,0.821180556,0.654513889,1,57,33.12138333,petitbeurre,plum
1,6,1,6,2,10,4,-1,1.44894976,0.260850694,0.417534722,0.347222222,0.371527778,-0.086371528,0.046006944,-0.086371528,3,1.813897813,2.0965632,2.362687289,1.572754489,0.046006944,5,1,1,0,0.300347222,0.221354167,0.342013889,0.493055556,0.311631944,0.3828125,0.388020833,0.355034722,1,57,33.12138333,oreo,mikado
1,7,1,7,2,24,3,-1,1.488925867,0.313368056,0.465711806,0.485243056,0.625,-0.171875,-0.159288194,-0.171875,1,2.347235982,1.929689884,1.822734507,2.121227378,-0.159288194,1,1,1,0,0.300347222,0.326388889,0.416666667,0.514756944,0.463541667,0.506944444,0.663194444,0.586805556,1,57,33.12138333,twix,petitbeurre
1,8,1,8,2,26,18,-1,1.818482347,0.304253472,0.067708333,0.434027778,0.402777778,-0.129774306,-0.335069444,-0.129774306,2,2.270968462,2.837418667,2.046184391,2.621846471,-0.335069444,0,1,1,0,0.271701389,0.336805556,0.078993056,0.056423611,0.40625,0.461805556,0.453993056,0.3515625,1,57,33.12138333,zucchini,rasberries
1,9,1,9,2,3,22,1,1.210075022,0.485243056,0.625,0.384548611,0.392795139,0.100694444,0.232204861,0.100694444,7,1.822734507,2.121227378,2.171847822,1.663582009,0.232204861,0,1,1,0,0.463541667,0.506944444,0.663194444,0.586805556,0.227430556,0.541666667,0.297743056,0.487847222,1,57,33.12138333,petitbeurre,toblerone
1,10,1,10,2,26,3,-1,1.382334009,0.304253472,0.067708333,0.485243056,0.625,-0.180989583,-0.557291667,-0.180989583,1,2.270968462,2.837418667,1.822734507,2.121227378,-0.557291667,0,1,1,0,0.271701389,0.336805556,0.078993056,0.056423611,0.463541667,0.506944444,0.663194444,0.586805556,1,57,33.12138333,zucchini,petitbeurre
