Field,brain_num,threshold,vol_tot_more_thresh.mm3.,vol_tar_more_thresh.mm3.,focality,activation,vol_thresh...,non_target_activ...,mean_tar,sd_tar
Configuration_F5_AF9_F6_AF10.cache,1,0.180174768,17151,1453,8.471809224,50.3814147,1.462272999,91.52819078,0.187261924,0.029269021
Configuration_AF9_C5_AF10_C6.cache,1,0.235234343,18226,1469,8.059914408,50.93619972,1.553926166,91.94008559,0.241482574,0.037447473
Configuration_AF9_CP5_AF10_CP6.cache,1,0.264817452,18301,1413,7.720889569,48.99445215,1.560320573,92.27911043,0.266718283,0.04053138
Configuration_AF9_CP7_AF10_CP8.cache,1,0.237138714,18681,1406,7.526363685,48.7517337,1.592718902,92.47363632,0.238739663,0.03742586
Configuration_Fp1_CP7_Fp2_CP8.cache,1,0.399652861,19914,1472,7.391784674,51.04022191,1.697842953,92.60821533,0.409778482,0.041648559
Configuration_Fp1_P7_Fp2_P8.cache,1,0.439978365,19594,1435,7.323670511,49.75728155,1.67056015,92.67632949,0.445990258,0.044526588
Configuration_F7_AF9_F8_AF10.cache,1,0.126844774,19884,1455,7.317441159,50.45076283,1.695285191,92.68255884,0.131713207,0.021982802
Configuration_AF9_FC7_AF10_FC8.cache,1,0.155751752,19958,1419,7.109930855,49.20249653,1.701594339,92.89006915,0.160843358,0.027186759
Configuration_F5_F9_F6_F10.cache,1,0.149942563,21182,1486,7.015390426,51.52565881,1.805951061,92.98460957,0.15507888,0.019038308
Configuration_Fp1_P9_Fp2_P10.cache,1,0.441343358,19944,1390,6.969514641,48.19694868,1.700400716,93.03048536,0.446074473,0.043927507
Configuration_AF9_F9_AF10_F10.cache,1,0.09640308,20596,1427,6.928529812,49.47988904,1.755989428,93.07147019,0.098288691,0.015963032
Configuration_AF9_FT9_AF10_FT10.cache,1,0.132574388,20960,1436,6.851145038,49.79195562,1.787023617,93.14885496,0.13479309,0.021686751
Configuration_Fp1_FT9_Fp2_FT10.cache,1,0.339565227,20985,1419,6.761972838,49.20249653,1.789155086,93.23802716,0.348085114,0.035732147
Configuration_Fp1_P5_Fp2_P6.cache,1,0.440212269,21729,1451,6.677711814,50.31206657,1.852587603,93.32228819,0.446719828,0.044743169
Configuration_AF9_FC5_AF10_FC6.cache,1,0.20172791,21320,1415,6.6369606,49.06380028,1.81771677,93.3630394,0.209114576,0.034457373
Configuration_F5_F7_F6_F8.cache,1,0.062392571,21782,1443,6.624736021,50.03467406,1.857106318,93.37526398,0.063450514,0.007632343
Configuration_Fp1_PO7_Fp2_PO8.cache,1,0.455820822,21189,1389,6.555288121,48.16227462,1.806547873,93.44471188,0.458925017,0.045786244
Configuration_Fp1_CP5_Fp2_CP6.cache,1,0.4074848,21534,1389,6.450264698,48.16227462,1.835962145,93.5497353,0.415206738,0.042509302
Configuration_F9_FT9_F10_FT10.cache,1,0.036369318,22009,1414,6.424644464,49.02912621,1.876460056,93.57535554,0.036571338,0.005952396
Configuration_Fp1_F9_Fp2_F10.cache,1,0.31231081,22211,1409,6.34370357,48.85575589,1.893682326,93.65629643,0.319561224,0.033642481
Configuration_F7_F9_F8_F10.cache,1,0.089433187,24822,1502,6.051083716,52.08044383,2.116292949,93.94891628,0.092311656,0.011507942
Configuration_F9_FC7_F10_FC8.cache,1,0.081734893,23624,1425,6.032001355,49.41054092,2.014152954,93.96799865,0.083620415,0.012970836
Configuration_Fp1_pre_l_Fp2_pre_r.cache,1,0.37984233,23662,1393,5.887076325,48.30097087,2.017392787,94.11292368,0.388004842,0.037939194
Configuration_Fp1_FC7_Fp2_FC8.cache,1,0.309428226,25950,1500,5.780346821,52.0110957,2.212464831,94.21965318,0.320838484,0.035725709
Configuration_Fp1_P3_Fp2_P4.cache,1,0.443271884,26592,1486,5.588146811,51.52565881,2.267200955,94.41185319,0.449529341,0.045050799
